time(ms),HR(bpm),ECG SQI,QRS Width(ms),QRS Amplitude(mV),PPG Vital Time(ns),PR(bpm),SpO2(%),SpO2 Ratio,Pulse Amplitude,Pulse Baseline,PI(%),PPG SQI,RR(rpm),RR SQI,RR Channel,Accl X(g),Accl Y(g),Accl Z(g),PAT(ms),Central Temp(°C),Peripheral Temp(°C),Cough Index,Talk Index,Swallow Index,Snore Index,Activity Index,Sleep Index,Posture,Scratch Index,SCG HR (bpm),SCG SQI
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
1000,-2.0,0.0,0.0,0.0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,0.0,-1.0,-0.023456279188394547,-0.5081223845481873,0.8601590394973755,0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.003734562313184142,-1.0,0.0,-1.0,-1.0,-1.0
2000,-2.0,0.0,0.0,0.0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,0.0,-1.0,-0.030503759160637856,-0.5230390429496765,0.851318359375,0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.003734562313184142,-1.0,0.0,-1.0,-1.0,-1.0
3000,-2.0,0.0,0.0,0.0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,0.0,-1.0,-0.02905038744211197,-0.5277076363563538,0.849745512008667,0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.003734562313184142,-1.0,0.0,-1.0,-1.0,-1.0
4000,-2.0,0.0,0.0,0.0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,0.0,-1.0,-0.026498647406697273,-0.5288273692131042,0.8523019552230835,0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.003734562313184142,-1.0,0.0,-1.0,-1.0,-1.0
5000,-2.0,0.0,0.0,0.0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,0.0,-1.0,-0.02203838713467121,-0.5264657735824585,0.8506845235824585,0,32.81640625,0.0,-1.0,-1.0,-1.0,-1.0,0.003734562313184142,-1.0,2.0,-1.0,-1.0,-1.0
6000,-2.0,0.0,0.0,0.0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,0.0,-1.0,-0.016663748770952225,-0.5111821293830872,0.8599945902824402,0,32.81640625,0.0,-1.0,-1.0,-1.0,-1.0,0.003734562313184142,-1.0,2.0,-1.0,-1.0,-1.0
7000,-2.0,0.0,0.0,0.0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,0.0,-1.0,-0.009829008020460606,-0.5024977326393127,0.863433837890625,0,32.81640625,33.93359375,-1.0,-1.0,-1.0,-1.0,0.003734562313184142,-1.0,2.0,-1.0,-1.0,-1.0
8000,-2.0,0.0,0.0,0.0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,0.0,-1.0,-0.01845843903720379,-0.5020071268081665,0.8622976541519165,0,32.81640625,33.93359375,-1.0,-1.0,-1.0,-1.0,0.003734562313184142,-1.0,2.0,-1.0,-1.0,-1.0
9000,-2.0,0.0,0.0,0.0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,0.0,-1.0,-0.028451595455408096,-0.5202221870422363,0.8535133004188538,0,32.83203125,33.93359375,-1.0,-1.0,-1.0,-1.0,0.003734562313184142,-1.0,2.0,-1.0,-1.0,-1.0
