time(ms),Red,IR
42.3575,3297.4375,7653.5625
50.17,3298.625,7656.375
57.9825,3299.0,7662.5
65.795,3299.625,7668.0
73.6075,3299.875,7671.75
81.42,3300.9375,7679.625
89.2325,3302.125,7682.625
97.045,3304.5,7687.5
104.8575,3305.0,7693.75
112.67,3306.0,7700.0625
120.4825,3308.4375,7706.0625
128.295,3310.1875,7714.4375
136.1075,3313.3125,7720.5
143.92,3312.1875,7723.625
151.7325,3314.3125,7728.25
159.545,3314.0625,7727.25
167.3575,3311.625,7719.9375
175.17,3306.0625,7702.125
182.9825,3298.3125,7670.4375
190.795,3288.4375,7629.9375
198.6075,3277.375,7577.625
206.42,3264.8125,7522.1875
214.2325,3250.9375,7467.9375
222.045,3237.25,7414.5
229.8575,3227.8125,7366.0
237.67,3217.625,7320.4375
245.4825,3208.5,7284.8125
253.295,3202.5,7253.4375
261.1075,3197.1875,7229.5
268.92,3191.75,7207.3125
276.7325,3189.0625,7191.75
284.545,3187.3125,7177.4375
292.3575,3186.9375,7170.8125
300.17,3185.875,7160.3125
307.9825,3185.0625,7158.875
315.795,3185.0,7153.875
323.6075,3184.625,7152.9375
331.42,3183.75,7150.625
339.2325,3185.25,7152.25
347.045,3185.3125,7153.6875
354.8575,3184.3125,7151.9375
362.67,3187.375,7156.5
370.4825,3187.3125,7158.875
378.295,3187.75,7160.6875
386.1075,3188.5625,7163.875
393.92,3190.6875,7167.8125
401.7325,3190.5,7169.9375
409.545,3191.25,7175.125
417.3575,3193.4375,7180.5
425.17,3194.9375,7188.625
432.9825,3197.5,7196.5
440.795,3200.75,7206.4375
448.6075,3202.75,7218.5
456.42,3207.1875,7234.25
464.2325,3209.25,7249.3125
472.045,3212.75,7264.125
479.8575,3216.6875,7281.1875
487.67,3220.375,7295.125
495.4825,3224.1875,7307.875
503.295,3225.0625,7316.3125
511.1075,3228.6875,7327.9375
518.92,3230.125,7333.625
526.7325,3231.1875,7338.5
534.545,3232.1875,7345.25
542.3575,3232.1875,7344.625
550.17,3233.0,7349.375
557.9825,3233.25,7349.5625
565.795,3232.0625,7350.0
573.6075,3231.8125,7351.25
581.42,3234.375,7351.5
589.2325,3233.75,7353.875
597.045,3233.4375,7353.1875
604.8575,3234.3125,7358.125
612.67,3234.875,7358.375
620.4825,3235.875,7362.4375
628.295,3238.3125,7365.875
636.1075,3237.5,7370.125
643.92,3239.4375,7375.375
651.7325,3239.0,7381.0625
659.545,3242.0,7386.4375
667.3575,3244.0,7394.125
675.17,3244.25,7401.6875
682.9825,3246.4375,7408.375
690.795,3248.6875,7415.625
698.6075,3249.9375,7425.875
706.42,3252.125,7433.25
714.2325,3254.75,7440.5
722.045,3255.75,7452.0
729.8575,3258.0625,7459.1875
737.67,3260.4375,7468.25
745.4825,3262.8125,7477.5625
753.295,3266.1875,7484.9375
761.1075,3266.0625,7493.6875
768.92,3267.8125,7500.4375
776.7325,3271.6875,7510.75
784.545,3272.8125,7518.875
792.3575,3272.4375,7526.1875
800.17,3275.5,7534.6875
807.9825,3276.6875,7540.625
815.795,3279.3125,7547.0625
823.6075,3280.125,7555.9375
831.42,3282.5,7561.8125
839.2325,3284.3125,7570.5625
847.045,3286.625,7573.375
854.8575,3286.5,7583.5
862.67,3287.9375,7587.625
870.4825,3289.625,7597.0625
878.295,3291.6875,7602.9375
886.1075,3292.0625,7608.0
893.92,3293.8125,7613.1875
901.7325,3294.25,7616.5
909.545,3296.1875,7626.25
917.3575,3297.6875,7632.1875
925.17,3299.1875,7636.0625
932.9825,3301.25,7642.9375
940.795,3300.375,7649.0
948.6075,3302.6875,7655.9375
956.42,3304.9375,7659.0625
964.2325,3304.875,7665.625
972.045,3306.8125,7671.3125
979.8575,3307.1875,7677.6875
987.67,3309.0625,7682.6875
995.4825,3312.0,7688.0625
1003.295,3311.6875,7692.75
1011.1075,3314.9375,7698.0625
1018.92,3313.9375,7703.375
1026.7325,3314.75,7707.875
1034.545,3317.125,7712.6875
1042.3575,3318.3125,7717.9375
1050.17,3318.4375,7722.4375
1057.9825,3319.375,7724.375
1065.795,3319.9375,7730.875
1073.6075,3322.75,7738.4375
1081.42,3323.25,7741.5625
1089.2325,3323.8125,7748.3125
1097.045,3326.9375,7752.875
1104.8575,3327.4375,7759.75
1112.67,3329.25,7766.875
1120.4825,3330.4375,7772.3125
1128.295,3331.4375,7780.75
1136.1075,3332.3125,7784.8125
1143.92,3336.125,7789.8125
1151.7325,3333.6875,7787.625
1159.545,3329.0625,7778.3125
1167.3575,3324.625,7755.625
1175.17,3315.375,7719.0
1182.9825,3304.1875,7671.5
1190.795,3291.125,7618.1875
1198.6075,3277.375,7558.4375
1206.42,3264.5625,7499.6875
1214.2325,3251.125,7442.4375
1222.045,3238.1875,7391.1875
1229.8575,3227.375,7345.375
1237.67,3218.5,7306.0625
1245.4825,3213.8125,7271.625
1253.295,3206.6875,7245.625
1261.1075,3201.5,7222.4375
1268.92,3199.3125,7204.0
1276.7325,3195.6875,7192.4375
1284.545,3194.3125,7181.9375
1292.3575,3194.8125,7174.6875
1300.17,3192.75,7169.875
1307.9825,3193.25,7164.75
1315.795,3191.8125,7166.125
1323.6075,3193.1875,7163.0
1331.42,3192.0625,7163.0625
1339.2325,3194.6875,7164.25
1347.045,3193.875,7163.5
1354.8575,3194.375,7166.3125
1362.67,3195.6875,7168.125
1370.4825,3196.5,7169.625
1378.295,3196.8125,7174.75
1386.1075,3197.9375,7176.0
1393.92,3198.3125,7182.75
1401.7325,3200.4375,7186.1875
1409.545,3202.3125,7189.5
1417.3575,3202.375,7198.9375
1425.17,3203.5625,7206.375
1432.9825,3207.75,7214.3125
1440.795,3211.3125,7230.5
1448.6075,3215.0,7244.4375
1456.42,3219.5625,7259.1875
1464.2325,3223.875,7272.875
1472.045,3226.0625,7291.3125
1479.8575,3231.1875,7304.9375
1487.67,3234.25,7318.9375
1495.4825,3234.875,7331.3125
1503.295,3239.3125,7344.8125
1511.1075,3239.75,7351.5
1518.92,3242.625,7359.0625
1526.7325,3243.625,7365.1875
1534.545,3243.8125,7368.4375
1542.3575,3245.3125,7371.25
1550.17,3244.4375,7373.8125
1557.9825,3245.125,7373.0
1565.795,3243.625,7377.1875
1573.6075,3244.8125,7375.75
1581.42,3244.875,7374.9375
1589.2325,3246.0625,7378.6875
1597.045,3244.75,7380.4375
1604.8575,3246.5,7383.4375
1612.67,3245.5,7387.875
1620.4825,3246.375,7390.5
1628.295,3248.625,7392.1875
1636.1075,3250.0,7398.25
1643.92,3251.125,7405.375
1651.7325,3250.6875,7410.25
1659.545,3254.8125,7416.0
1667.3575,3254.9375,7422.75
1675.17,3258.1875,7428.5625
1682.9825,3260.0,7439.625
1690.795,3260.75,7442.75
1698.6075,3260.6875,7454.6875
1706.42,3265.75,7459.75
1714.2325,3264.875,7471.0625
1722.045,3270.0,7477.1875
1729.8575,3271.625,7487.875
1737.67,3272.9375,7497.375
1745.4825,3274.5,7506.875
1753.295,3277.0,7513.375
1761.1075,3277.5,7522.625
1768.92,3282.5,7531.125
1776.7325,3280.9375,7539.8125
1784.545,3283.5625,7547.625
1792.3575,3287.125,7556.75
1800.17,3287.4375,7563.875
1807.9825,3288.125,7572.75
1815.795,3291.875,7579.375
1823.6075,3291.875,7584.75
1831.42,3294.875,7593.8125
1839.2325,3295.5,7600.0625
1847.045,3297.0,7606.75
1854.8575,3297.875,7615.375
1862.67,3300.0,7618.5
1870.4825,3301.625,7625.3125
1878.295,3302.0625,7632.6875
1886.1075,3303.3125,7640.1875
1893.92,3306.875,7645.375
1901.7325,3306.75,7652.125
1909.545,3309.125,7657.5
1917.3575,3309.6875,7663.8125
1925.17,3311.375,7669.0625
1932.9825,3312.625,7676.9375
1940.795,3311.8125,7679.9375
1948.6075,3316.25,7688.875
1956.42,3315.625,7694.25
1964.2325,3316.6875,7698.3125
1972.045,3320.625,7704.875
1979.8575,3320.5625,7709.625
1987.67,3321.6875,7719.25
1995.4825,3323.375,7720.6875
2003.295,3325.3125,7729.5625
2011.1075,3325.625,7734.875
2018.92,3329.375,7739.75
2026.7325,3329.8125,7747.0
2034.545,3329.875,7751.0625
2042.3575,3330.625,7757.5625
2050.17,3330.5625,7762.25
2057.9825,3331.6875,7766.125
2065.795,3335.0625,7769.0
2073.6075,3335.3125,7776.125
2081.42,3335.625,7781.1875
2089.2325,3337.9375,7786.5
2097.045,3338.0,7790.5625
2104.8575,3338.8125,7794.0
2112.67,3339.8125,7800.25
2120.4825,3342.0,7808.9375
2128.295,3345.4375,7815.3125
2136.1075,3345.0625,7819.4375
2143.92,3345.9375,7826.8125
2151.7325,3348.5,7832.625
2159.545,3350.4375,7838.25
2167.3575,3350.5,7838.875
2175.17,3347.75,7836.25
2182.9825,3345.0,7822.0
2190.795,3337.625,7797.1875
2198.6075,3327.8125,7755.75
2206.42,3316.4375,7708.1875
2214.2325,3302.4375,7649.5625
2222.045,3289.125,7590.75
2229.8575,3273.875,7530.3125
2237.67,3260.9375,7478.1875
2245.4825,3248.875,7424.1875
2253.295,3239.75,7379.6875
2261.1075,3230.0,7338.5625
2268.92,3224.75,7308.4375
2276.7325,3217.8125,7282.5625
2284.545,3212.375,7260.625
2292.3575,3211.4375,7244.1875
2300.17,3208.125,7230.75
2307.9825,3207.25,7223.3125
2315.795,3205.5,7216.125
2323.6075,3205.0,7212.875
2331.42,3204.25,7209.5
2339.2325,3204.625,7209.5
2347.045,3206.3125,7205.875
2354.8575,3206.5625,7209.25
2362.67,3206.3125,7207.8125
2370.4825,3208.4375,7211.1875
2378.295,3207.3125,7213.625
2386.1075,3208.5,7214.6875
2393.92,3211.25,7220.375
2401.7325,3210.25,7223.9375
2409.545,3209.75,7227.3125
2417.3575,3213.8125,7232.8125
2425.17,3214.6875,7236.0625
2432.9825,3216.75,7245.3125
2440.795,3217.1875,7251.75
2448.6075,3220.4375,7263.9375
2456.42,3223.8125,7274.1875
2464.2325,3224.9375,7288.0
2472.045,3231.5625,7306.25
2479.8575,3233.3125,7320.4375
2487.67,3237.375,7335.5625
2495.4825,3242.0,7350.875
2503.295,3245.0625,7364.9375
2511.1075,3246.875,7379.25
2518.92,3250.0,7388.9375
2526.7325,3252.125,7395.5625
2534.545,3254.1875,7404.4375
2542.3575,3255.8125,7409.8125
2550.17,3254.6875,7413.8125
2557.9825,3257.0625,7418.0625
2565.795,3256.4375,7420.375
2573.6075,3256.375,7421.5625
2581.42,3257.3125,7421.0
2589.2325,3258.5625,7422.625
2597.045,3258.75,7424.0
2604.8575,3258.375,7424.0625
2612.67,3256.0,7424.1875
2620.4825,3257.4375,7427.1875
2628.295,3257.1875,7428.1875
2636.1075,3260.8125,7431.625
2643.92,3259.875,7437.1875
2651.7325,3259.8125,7440.8125
2659.545,3262.1875,7447.4375
2667.3575,3263.25,7451.375
2675.17,3264.4375,7458.6875
2682.9825,3267.1875,7464.5625
2690.795,3268.1875,7470.75
2698.616636,3270.0625,7478.75
2706.438112,3271.0625,7485.0
2714.259588,3272.75,7493.625
